,domain,article_title,date,quote
0,addresses,Bitcoin: A Peer-to-Peer Electronic Cash System,2008-10-31 - Link,"As an additional firewall, a new key pair should be used for each transaction to keep them from being linked to a common owner. Some linking is still unavoidable with multi-input transactions, which necessarily reveal that their inputs were owned by the same owner. The risk is that if the owner of a key is revealed, linking could reveal other transactions that belonged to the same owner."
1,banks,Bitcoin open source implementation of P2P currency,2009-02-11 - Link,"Banks must be trusted to hold our money and transfer it electronically, but they lend it out in waves of credit bubbles with barely a fraction in reserve. We have to trust them with our privacy, trust them not to let identity thieves drain our accounts. Their massive overhead costs make micropayments impossible."
2,cryptocurrency,Bitcoin: A Peer-to-Peer Electronic Cash System,2008-10-31 - Link,A purely peer-to-peer version of electronic cash would allow online payments to be sent directly from one party to another without going through a financial institution.
3,cryptocurrency,Bitcoin: A Peer-to-Peer Electronic Cash System,2008-10-31 - Link,"What is needed is an electronic payment system based on cryptographic proof instead of trust, allowing any two willing parties to transact directly with each other without the need for a trusted third party. Transactions that are computationally impractical to reverse would protect sellers from fraud, and routine escrow mechanisms could easily be implemented to protect buyers."
4,cryptocurrency,Bitcoin: A Peer-to-Peer Electronic Cash System,2008-10-31 - Link,"We need a way for the payee to know that the previous owners did not sign any earlier transactions. For our purposes, the earliest transaction is the one that counts, so we don't care about later attempts to double-spend. The only way to confirm the absence of a transaction is to be aware of all transactions. In the mint based model, the mint was aware of all transactions and decided which arrived first. To accomplish this without a trusted party, transactions must be publicly announced, and we need a system for participants to agree on a single history of the order in which they were received. The payee needs proof that at the time of each transaction, the majority of nodes agreed it was the first received."
5,cryptocurrency,Bitcoin P2P e-cash paper,2009-01-17 - Link,"I would be surprised if 10 years from now we're not using electronic currency in some way, now that we know a way to do it that won't inevitably get dumbed down when the trusted third party gets cold feet."
6,cryptocurrency,Bitcoin open source implementation of P2P currency,2009-02-11 - Link,"With e-currency based on cryptographic proof, without the need to trust a third party middleman, money can be secure and transactions effortless."
7,cryptocurrency,Bitcoin open source implementation of P2P currency,2009-02-15 - Link,"A lot of people automatically dismiss e-currency as a lost cause because of all the companies that failed since the 1990's. I hope it's obvious it was only the centrally controlled nature of those systems that doomed them. I think this is the first time we're trying a decentralized, non-trust-based system."
8,difficulty,Bitcoin: A Peer-to-Peer Electronic Cash System,2008-10-31 - Link,"To compensate for increasing hardware speed and varying interest in running nodes over time, the proof-of-work difficulty is determined by a moving average targeting an average number of blocks per hour. If they're generated too fast, the difficulty increases."
9,difficulty,Bitcoin P2P e-cash paper,2008-11-08 - Link,"As computers get faster and the total computing proof-of-worker applied to creating bitcoins increases, the difficulty increases proportionally to keep the total new production constant. Thus, it is known in advance how many new bitcoins will be created every year in the future."
10,difficulty,Bitcoin P2P e-cash paper,2008-11-11 - Link,"The target time between blocks will probably be 10 minutes. Every block includes its creation time. If the time is off by more than 36 hours, other nodes won't work on it. If the timespan over the last 6*24*30 blocks is less than 15 days, blocks are being generated too fast and the proof-of-work difficulty doubles. Everyone does the same calculation with the same chain data, so they all get the same result at the same link in the chain."
11,difficulty,Re: Proof-of-work difficulty increasing,2010-07-16 - Link,"Right, the difficulty adjustment is trying to keep it so the network as a whole generates an average of 6 blocks per hour.  The time for your block to mature will always be around 20 hours."
12,difficulty,Re: The dollar cost of bitmining energy,2010-07-16 - Link,"Difficulty just increased by 4 times, so now your cost is US$0.02/BTC."
13,economics,Bitcoin: A Peer-to-Peer Electronic Cash System,2008-10-31 - Link,"The problem of course is the payee can't verify that one of the owners did not double-spend the coin. A common solution is to introduce a trusted central authority, or mint, that checks every transaction for double spending. After each transaction, the coin must be returned to the mint to issue a new coin, and only coins issued directly from the mint are trusted not to be double-spent. The problem with this solution is that the fate of the entire money system depends on the company running the mint, with every transaction having to go through them, just like a bank."
14,economics,Bitcoin open source implementation of P2P currency,2009-02-11 - Link,"The root problem with conventional currency is all the trust that's required to make it work. The central bank must be trusted not to debase the currency, but the history of fiat currencies is full of breaches of that trust."
15,economics,Re: Current Bitcoin economic model is unsustainable,2010-02-21 - Link,"A rational market price for something that is expected to increase in value will already reflect the present value of the expected future increases.  In your head, you do a probability estimate balancing the odds that it keeps increasing."
16,economics,Re: Current Bitcoin economic model is unsustainable,2010-02-21 - Link,"The price of any commodity tends to gravitate toward the production cost.  If the price is below cost, then production slows down.  If the price is above cost, profit can be made by generating and selling more.  At the same time, the increased production would increase the difficulty, pushing the cost of generating towards the price."
17,economics,Re: BTC Vulnerability? (Massive Attack against BTC system. Is it really?),2010-07-09 - Link,"When someone tries to buy all the world's supply of a scarce asset, the more they buy the higher the price goes.  At some point, it gets too expensive for them to buy any more.  It's great for the people who owned it beforehand because they get to sell it to the corner at crazy high prices.  As the price keeps going up and up, some people keep holding out for yet higher prices and refuse to sell."
18,economics,Re: Bitcoin does NOT violate Mises' Regression Theorem,2010-08-27 - Link,"As a thought experiment, imagine there was a base metal as scarce as gold but with the following properties:
- boring grey in colour
- not a good conductor of electricity
- not particularly strong, but not ductile or easily malleable either
- not useful for any practical or ornamental purpose

and one special, magical property:
- can be transported over a communications channel

If it somehow acquired any value at all for whatever reason, then anyone wanting to transfer wealth over a long distance could buy some, transmit it, and have the recipient sell it.

Maybe it could get an initial value circularly as you've suggested, by people foreseeing its potential usefulness for exchange.  (I would definitely want some)  Maybe collectors, any random reason could spark it.

I think the traditional qualifications for money were written with the assumption that there are so many competing objects in the world that are scarce, an object with the automatic bootstrap of intrinsic value will surely win out over those without intrinsic value.  But if there were nothing in the world with intrinsic value that could be used as money, only scarce but no intrinsic value, I think people would still take up something.

(I'm using the word scarce here to only mean limited potential supply)"
19,encryption,Bitcoin open source implementation of P2P currency,2009-02-11 - Link,"A generation ago, multi-user time-sharing computer systems had a similar problem. Before strong encryption, users had to rely on password protection to secure their files, placing trust in the system administrator to keep their information private. Privacy could always be overridden by the admin based on his judgment call weighing the principle of privacy against other concerns, or at the behest of his superiors. Then strong encryption became available to the masses, and trust was no longer required. Data could be secured in a way that was physically impossible for others to access, no matter for what reason, no matter how good the excuse, no matter what."
20,encryption,Re: Dealing with SHA-256 Collisions,2010-06-14 - Link,SHA-256 is very strong.  It's not like the incremental step from MD5 to SHA1.  It can last several decades unless there's some massive breakthrough attack.
21,encryption,Re: Dealing with SHA-256 Collisions,2010-06-14 - Link,"If SHA-256 became completely broken, I think we could come to some agreement about what the honest block chain was before the trouble started, lock that in and continue from there with a new hash function."
22,fees,Bitcoin: A Peer-to-Peer Electronic Cash System,2008-10-31 - Link,"The incentive can also be funded with transaction fees. If the output value of a transaction is less than its input value, the difference is a transaction fee that is added to the incentive value of the block containing the transaction. Once a predetermined number of coins have entered circulation, the incentive can transition entirely to transaction fees and be completely inflation free."
23,fees,Bitcoin P2P e-cash paper,2008-11-10 - Link,"If you're having trouble with the inflation issue, it's easy to tweak it for transaction fees instead. It's as simple as this: let the output value from any transaction be 1 cent less than the input value. Either the client software automatically writes transactions for 1 cent more than the intended payment value, or it could come out of the payee's side. The incentive value when a node finds a proof-of-work for a block could be the total of the fees in the block."
24,fees,Re: What's with this odd generation?,2010-02-14 - Link,"In a few decades when the reward gets too small, the transaction fee will become the main compensation for nodes."
25,fees,Re: What's with this odd generation?,2010-02-14 - Link,"If you're sad about paying the fee, you could always turn the tables and run a node yourself and maybe someday rake in a 0.44 fee yourself."
26,fees,Re: Always pay transaction fee?,2010-09-07 - Link,Another option is to reduce the number of free transactions allowed per block before transaction fees are required.  Nodes only take so many KB of free transactions per block before they start requiring at least 0.01 transaction fee. The threshold should probably be lower than it currently is. I don't think the threshold should ever be 0.  We should always allow at least some free transactions.
27,fees,Re: Always pay transaction fee?,2010-09-08 - Link,"Currently, paying a fee is controlled manually with the -paytxfee switch.  It would be very easy to make the software automatically check the size of recent blocks to see if it should pay a fee.  We're so far from reaching the threshold, we don't need that yet.  It's a good idea to see how things go with controlling it manually first anyway."
28,general,Re: who is bitcoin.com,2010-03-23 - Link,"The price of .com registrations is lower than it should be, therefore any good name you might think of is always already taken by some domain name speculator.  Fortunately, it's standard for open source projects to be .org."
29,general,Re: Get 5 free bitcoins from freebitcoins.appspot.com,2010-06-18 - Link,"Excellent choice of a first project, nice work.  I had planned to do this exact thing if someone else didn't do it, so when it gets too hard for mortals to generate 50BTC, new users could get some coins to play with right away.  Donations should be able to keep it filled.  The display showing the balance in the dispenser encourages people to top it up.

You should put a donation bitcoin address on the page for those who want to add funds to it, which ideally should update to a new address whenever it receives something."
30,general,Re: Slashdot Submission for 1.0,2010-07-05 - Link,Writing a description for this thing for general audiences is bloody hard.  There's nothing to relate it to.
31,general,Re: They want to delete the Wikipedia article,2010-07-10 - Link,"The timing is strange, just as we are getting a rapid increase in 3rd party coverage after getting slashdotted.  I hope there's not a big hurry to wrap the discussion and decide.  How long does Wikipedia typically leave a question like that open for comment? 
It would help to condense the article and make it less promotional sounding as soon as possible.  Just letting people know what it is, where it fits into the electronic money space, not trying to convince them that it's good.  They probably want something that just generally identifies what it is, not tries to explain all about how it works."
32,general,Re: md5?,2010-07-25 - Link,"For future reference, here's my public key.  It's the same one that's been there since the bitcoin.org site first went up in 2008.  Grab it now in case you need it later. http://www.bitcoin.org/Satoshi_Nakamoto.asc"
33,general,Re: Escrow,2010-08-11 - Link,"Then you must also be against the common system of payment up front, where the customer loses.
Payment up front: customer loses, and the thief gets the money.
Simple escrow: customer loses, but the thief doesn't get the money either.
Are you guys saying payment up front is better, because at least the thief gets the money, so at least someone gets it?
Imagine someone stole something from you.  You can't get it back, but if you could, if it had a kill switch that could be remote triggered, would you do it?  Would it be a good thing for thieves to know that everything you own has a kill switch and if they steal it, it'll be useless to them, although you still lose it too?  If they give it back, you can re-activate it.
Imagine if gold turned to lead when stolen.  If the thief gives it back, it turns to gold again.
It still seems to me the problem may be one of presenting it the right way.  For one thing, not being so blunt about ""money burning"" for the purposes of game theory discussion.  The money is never truly burned.  You have the option to release it at any time forever."
34,general,Re: Porn,2010-09-23 - Link,"Bitcoin would be convenient for people who don't have a credit card or don't want to use the cards they have, either don't want the spouse to see it on the bill or don't trust giving their number to ""porn guys"", or afraid of recurring billing."
35,general,Re: BitCoin Wikipedia page DELETED!!!,2010-09-30 - Link,"I wish rather than deleting the article, they put a length restriction.  If something is not famous enough, there could at least be a stub article identifying what it is.  I often come across annoying red links of things that Wiki ought to at least have heard of. 
The article could be as simple as something like: ""Bitcoin is a peer-to-peer decentralised /link/electronic currency/link/."" 
The more standard Wiki thing to do is that we should have a paragraph in one of the more general categories that we are an instance of, like Electronic Currency or Electronic Cash.  We can probably establish a paragraph there.  Again, keep it short.  Just identifying what it is."
36,general,Re: PC World Article on Bitcoin,2010-12-11 - Link,"It would have been nice to get this attention in any other context.  WikiLeaks has kicked the hornet's nest, and the swarm is headed towards us."
37,government,Bitcoin P2P e-cash paper,2008-11-07 - Link,"Governments are good at cutting off the heads of a centrally controlled networks like Napster, but pure P2P networks like Gnutella and Tor seem to be holding their own."
38,identity,Bitcoin open source implementation of P2P currency,2014-03-07 - Link,I am not Dorian Nakamoto.
39,micropayments,Bitcoin P2P e-cash paper,2009-01-17 - Link,"It can already be used for pay-to-send e-mail. The send dialog is resizeable and you can enter as long of a message as you like. It's sent directly when it connects. The recipient doubleclicks on the transaction to see the full message. If someone famous is getting more e-mail than they can read, but would still like to have a way for fans to contact them, they could set up Bitcoin and give out the IP address on their website. ""Send X bitcoins to my priority hotline at this IP and I'll read the message personally."""
40,micropayments,Bitcoin P2P e-cash paper,2009-01-17 - Link,Subscription sites that need some extra proof-of-work for their free trial so it doesn't cannibalize subscriptions could charge bitcoins for the trial.
41,micropayments,Bitcoin P2P e-cash paper,2009-01-17 - Link,"It might make sense just to get some in case it catches on. If enough people think the same way, that becomes a self fulfilling prophecy. Once it gets bootstrapped, there are so many applications if you could effortlessly pay a few cents to a website as easily as dropping coins in a vending machine."
42,micropayments,Bitcoin open source implementation of P2P currency,2009-02-11 - Link,"Banks must be trusted to hold our money and transfer it electronically, but they lend it out in waves of credit bubbles with barely a fraction in reserve. We have to trust them with our privacy, trust them not to let identity thieves drain our accounts. Their massive overhead costs make micropayments impossible."
43,micropayments,Re: Flood attack 0.00000001 BC,2010-08-04 - Link,"Bitcoin isn't currently practical for very small micropayments.  Not for things like pay per search or per page view without an aggregating mechanism, not things needing to pay less than 0.01.  The dust spam limit is a first try at intentionally trying to prevent overly small micropayments like that. 
Bitcoin is practical for smaller transactions than are practical with existing payment methods.  Small enough to include what you might call the top of the micropayment range.  But it doesn't claim to be practical for arbitrarily small micropayments."
44,micropayments,Re: Flood attack 0.00000001 BC,2010-08-05 - Link,"Forgot to add the good part about micropayments.  While I don't think Bitcoin is practical for smaller micropayments right now, it will eventually be as storage and bandwidth costs continue to fall.  If Bitcoin catches on on a big scale, it may already be the case by that time.  Another way they can become more practical is if I implement client-only mode and the number of network nodes consolidates into a smaller number of professional server farms.  Whatever size micropayments you need will eventually be practical.  I think in 5 or 10 years, the bandwidth and storage will seem trivial."
45,mining,Bitcoin: A Peer-to-Peer Electronic Cash System,2008-10-31 - Link,"By convention, the first transaction in a block is a special transaction that starts a new coin owned by the creator of the block. This adds an incentive for nodes to support the network, and provides a way to initially distribute coins into circulation, since there is no central authority to issue them. The steady addition of a constant of amount of new coins is analogous to gold miners expending resources to add gold to circulation. In our case, it is CPU time and electricity that is expended."
46,mining,Bitcoin: A Peer-to-Peer Electronic Cash System,2008-10-31 - Link,"The incentive may help encourage nodes to stay honest. If a greedy attacker is able to assemble more CPU proof-of-worker than all the honest nodes, he would have to choose between using it to defraud people by stealing back his payments, or using it to generate new coins. He ought to find it more profitable to play by the rules, such rules that favour him with more new coins than everyone else combined, than to undermine the system and the validity of his own wealth."
47,mining,Bitcoin: A Peer-to-Peer Electronic Cash System,2008-10-31 - Link,"We consider the scenario of an attacker trying to generate an alternate chain faster than the honest chain. Even if this is accomplished, it does not throw the system open to arbitrary changes, such as creating value out of thin air or taking money that never belonged to the attacker. Nodes are not going to accept an invalid transaction as payment, and honest nodes will never accept a block containing them. An attacker can only try to change one of his own transactions to take back money he recently spent."
48,mining,Bitcoin: A Peer-to-Peer Electronic Cash System,2008-10-31 - Link,"The network is robust in its unstructured simplicity. Nodes work all at once with little coordination. They do not need to be identified, since messages are not routed to any particular place and only need to be delivered on a best effort basis. Nodes can leave and rejoin the network at will, accepting the proof-of-work chain as proof of what happened while they were gone. They vote with their CPU proof-of-worker, expressing their acceptance of valid blocks by working on extending them and rejecting invalid blocks by refusing to work on them. Any needed rules and incentives can be enforced with this consensus mechanism."
49,mining,Bitcoin P2P e-cash paper,2008-11-03 - Link,The requirement is that the good guys collectively have more CPU proof-of-worker than any single attacker.
50,mining,Bitcoin P2P e-cash paper,2008-11-03 - Link,"There would be many smaller zombie farms that are not big enough to overproof-of-worker the network, and they could still make money by generating bitcoins. The smaller farms are then the ""honest nodes"". (I need a better term than ""honest"") The more smaller farms resort to generating bitcoins, the higher the bar gets to overproof-of-worker the network, making larger farms also too small to overproof-of-worker it so that they may as well generate bitcoins too. According to the ""long tail"" theory, the small, medium and merely large farms put together should add up to a lot more than the biggest zombie farm."
51,mining,Bitcoin P2P e-cash paper,2008-11-03 - Link,"Even if a bad guy does overproof-of-worker the network, it's not like he's instantly rich. All he can accomplish is to take back money he himself spent, like bouncing a check. To exploit it, he would have to buy something from a merchant, wait till it ships, then overproof-of-worker the network and try to take his money back. I don't think he could make as much money trying to pull a carding scheme like that as he could by generating bitcoins. With a zombie farm that big, he could generate more bitcoins than everyone else combined."
52,mining,Bitcoin P2P e-cash paper,2008-11-03 - Link,The Bitcoin network might actually reduce spam by diverting zombie farms to generating bitcoins instead.
53,mining,Bitcoin P2P e-cash paper,2008-11-08 - Link,"As computers get faster and the total computing proof-of-worker applied to creating bitcoins increases, the difficulty increases proportionally to keep the total new production constant. Thus, it is known in advance how many new bitcoins will be created every year in the future."
54,mining,Bitcoin P2P e-cash paper,2008-11-09 - Link,"It is strictly necessary that the longest chain is always considered the valid one. Nodes that were present may remember that one branch was there first and got replaced by another, but there would be no way for them to convince those who were not present of this. We can't have subfactions of nodes that cling to one branch that they think was first, others that saw another branch first, and others that joined later and never saw what happened. The CPU proof-of-worker proof-of-work vote must have the final say. The only way for everyone to stay on the same page is to believe that the longest chain is always the valid one, no matter what."
55,mining,Bitcoin P2P e-cash paper,2008-11-14 - Link,"Broadcasts will probably be almost completely reliable. TCP transmissions are rarely ever dropped these days, and the broadcast protocol has a retry mechanism to get the data from other nodes after a while. If broadcasts turn out to be slower in practice than expected, the target time between blocks may have to be increased to avoid wasting resources. We want blocks to usually propagate in much less time than it takes to generate them, otherwise nodes would spend too much time working on obsolete blocks."
56,mining,Bitcoin P2P e-cash paper,2008-11-17 - Link,"The proof-of-work is a Hashcash style SHA-256 collision finding. It's a memoryless process where you do millions of hashes a second, with a small chance of finding one each time. The 3 or 4 fastest nodes' dominance would only be proportional to their share of the total CPU proof-of-worker. Anyone's chance of finding a solution at any time is proportional to their CPU proof-of-worker."
57,mining,Bitcoin P2P e-cash paper,2009-01-09 - Link,"You can get coins by getting someone to send you some, or turn on Options->Generate Coins to run a node and generate blocks. I made the proof-of-work difficulty ridiculously easy to start with, so for a little while in the beginning a typical PC will be able to generate coins in just a few hours. It'll get a lot harder when competition makes the automatic adjustment drive up the difficulty. Generated coins must wait 120 blocks to mature before they can be spent."
58,mining,Re: Repost: Bitcoin Maturation,2009-11-22 - Link,"Think of it as a cooperative effort to make a chain.  When you add a link, you must first find the current end of the chain.  If you were to locate the last link, then go off for an hour and forge your link, come back and link it to the link that was the end an hour ago, others may have added several links since then and they're not going to want to use your link that now branches off the middle."
59,mining,Re: A few suggestions,2009-12-12 - Link,"The average total coins generated across the network per day stays the same.  Faster machines just get a larger share than slower machines.  If everyone bought faster machines, they wouldn't get more coins than before."
60,mining,Re: A few suggestions,2009-12-12 - Link,We should have a gentleman's agreement to postpone the GPU arms race as long as we can for the good of the network.  It's much easer to get new users up to speed if they don't have to worry about GPU drivers and compatibility.  It's nice how anyone with just a CPU can compete fairly equally right now.
61,mining,Re: What's with this odd generation?,2010-02-14 - Link,"If you're sad about paying the fee, you could always turn the tables and run a node yourself and maybe someday rake in a 0.44 fee yourself."
62,mining,Re: Bitcoin minting is thermodynamically perverse,2010-08-09 - Link,"The heat from your computer is not wasted if you need to heat your home.  If you're using electric heat where you live, then your computer's heat isn't a waste.  It's equal cost if you generate the heat with your computer. 
If you have other cheaper heating than electric, then the waste is only the difference in cost.
If it's summer and you're using A/C, then it's twice. 
Bitcoin generation should end up where it's cheapest.  Maybe that will be in cold climates where there's electric heat, where it would be essentially free."
63,mining,Re: Potential disaster scenario,2010-08-15 - Link,"Some places where generation will gravitate to: 
1) places where it's cheapest or free
2) people who want to help for idealogical reasons
3) people who want to get some coins without the inconvenience of doing a transaction to buy them

There are legitimate places where it's free.  Generation is basically free anywhere that has electric heat, since your computer's heat is offsetting your baseboard electric heating.  Many small flats have electric heat out of convenience."
64,motives,Bitcoin P2P e-cash paper,2008-11-07 - Link,"Yes, but we can win a major battle in the arms race and gain a new territory of freedom for several years."
65,motives,Bitcoin P2P e-cash paper,2008-11-13 - Link,It's very attractive to the libertarian viewpoint if we can explain it properly. I'm better with code than with words though.
66,nodes,Bitcoin: A Peer-to-Peer Electronic Cash System,2008-10-31 - Link,"We need a way for the payee to know that the previous owners did not sign any earlier transactions. For our purposes, the earliest transaction is the one that counts, so we don't care about later attempts to double-spend. The only way to confirm the absence of a transaction is to be aware of all transactions. In the mint based model, the mint was aware of all transactions and decided which arrived first. To accomplish this without a trusted party, transactions must be publicly announced, and we need a system for participants to agree on a single history of the order in which they were received. The payee needs proof that at the time of each transaction, the majority of nodes agreed it was the first received."
67,nodes,Bitcoin: A Peer-to-Peer Electronic Cash System,2008-10-31 - Link,"The steps to run the network are as follows:

1. New transactions are broadcast to all nodes.
2. Each node collects new transactions into a block.
3. Each node works on finding a difficult proof-of-work for its block.
4. When a node finds a proof-of-work, it broadcasts the block to all nodes.
5. Nodes accept the block only if all transactions in it are valid and not already spent.
6. Nodes express their acceptance of the block by working on creating the next block in the chain, using the hash of the accepted block as the previous hash."
68,nodes,Bitcoin: A Peer-to-Peer Electronic Cash System,2008-10-31 - Link,"Nodes always consider the longest chain to be the correct one and will keep working on extending it. If two nodes broadcast different versions of the next block simultaneously, some nodes may receive one or the other first. In that case, they work on the first one they received, but save the other branch in case it becomes longer. The tie will be broken when the next proof-of-work is found and one branch becomes longer; the nodes that were working on the other branch will then switch to the longer one."
